Time,BPM,RR_ms,HRV_RMSSD
1768127411,118.4149247,506.6928864,34.27763191
1768127412,111.3958889,538.6195183,34.50474743
1768127412,104.0623469,576.577425,34.85801041
1768127413,103.5955899,579.1752338,34.85932107
1768127413,105.2269906,570.1959133,34.25421993
1768127414,111.5142578,538.0477905,34.48191559
1768127414,114.7745517,522.7639675,34.25771868
1768127415,111.3673955,538.7573242,34.33381016
1768127415,111.2173805,539.484024,34.25578134
1768127416,108.229257,554.3787479,34.3217025
1768127417,108.3038744,553.9968014,34.24421936
1768127417,114.82624,522.5286484,34.45861749
1768127418,118.4402822,506.5844059,33.84432882
1768127418,118.4516548,506.5357685,33.84428766
1768127419,114.7354628,522.9420662,33.92520215
1768127419,114.6557456,523.3056545,33.8531218
1768127420,114.9235634,522.0861435,33.77489453
1768127420,114.9705536,521.8727589,33.69483903
1768127421,111.6276792,537.5010967,30.96107853
1768127421,111.5763068,537.7485752,25.11573185
1768127422,108.1160836,554.9590588,21.43229957
1768127422,108.2645966,554.1977882,21.30062196
1768127423,111.5479683,537.8851891,19.41490828
1768127423,114.6346456,523.4019756,19.52484408
1768127424,122.0696198,491.522789,19.90367174
1768127424,122.2130201,490.9460545,19.77437025
1768127425,122.4228273,490.1046753,19.27642078
1768127425,122.2314808,490.8719063,19.13819752
1768127426,118.5807529,505.9843063,19.13283294
1768127426,113.9524798,526.5352726,19.35667358
1768127427,112.2476084,534.532547,19.24144709
1768127427,114.7309644,522.9625702,19.16792668
1768127428,118.2968074,507.1988106,19.16122415
1768127428,118.424955,506.649971,19.16066662
1768127429,114.7080067,523.0672359,19.30095374
1768127430,114.9233535,522.0870972,19.14857251
1768127430,114.5665416,523.7131119,19.0339675
1768127431,111.3474391,538.8538837,18.99635815
1768127431,111.665422,537.3194218,18.87297828
1768127432,114.9405174,522.0091343,18.45068874
1768127432,114.8915061,522.2318172,18.4409978
1768127433,118.289134,507.2317123,17.68618797
1768127433,114.8202152,522.5560665,17.09365131
1768127434,118.4516548,506.5357685,17.09050217
1768127434,114.8190103,522.5615501,15.84572523
1768127435,118.6918245,505.510807,15.86585203
1768127435,118.3869605,506.8125725,15.86644788
1768127436,122.0881558,491.448164,15.27312186
1768127436,114.7018374,523.0953693,15.92749925
1768127437,109.6798099,547.0468998,16.13502481
1768127437,104.0135732,576.8477917,16.05182651
1768127438,102.531878,585.1838589,15.1550375
1768127439,108.2839291,554.0988445,15.78788765
1768127439,105.2923697,569.8418617,15.89559483
1768127440,102.4323435,585.7524872,15.38649887
1768127440,108.268975,554.1753769,15.88478393
1768127441,111.3149329,539.01124,15.86817844
1768127441,111.155239,539.7856236,15.86822446
1768127442,114.696662,523.1189728,15.90414609
1768127442,108.2659474,554.1908741,16.51188097
1768127443,111.6769679,537.2638702,16.07110937
1768127443,114.9196799,522.1037865,16.05561541
1768127444,118.2117888,507.563591,16.18942175
1768127444,118.3469868,506.983757,16.01908368
1768127445,118.2479484,507.4083805,16.01911432
1768127445,117.7106737,509.7243786,16.02158353
1768127446,115.4742019,519.5965767,16.08350693
1768127447,112.5735305,532.984972,16.04221774
1768127447,116.4533448,515.2277946,16.24150695
1768127448,120.0913361,499.6197224,16.2084332
1768127448,120.9037433,496.2625504,16.2151624
1768127449,122.2333213,490.8645153,16.06535186
1768127449,122.1160591,491.3358688,15.93170353
1768127450,122.3679427,490.3244972,15.26759943
1768127450,115.0900133,521.3310719,15.89696099
1768127451,121.9129115,492.1545982,16.43385863
1768127451,118.6186482,505.8226585,16.54908654
1768127452,126.0596832,475.965023,16.95301716
1768127452,126.4256595,474.5872021,16.69803296
1768127452,126.2881775,475.1038551,16.65906719
1768127453,130.8791577,458.438158,16.74696595
1768127453,130.7681683,458.8272572,16.59495734
1768127454,126.3635113,474.8206139,16.75131678
1768127454,126.220973,475.3568172,16.58649869
1768127455,126.4834823,474.3702412,16.58650648
1768127455,118.5280304,506.2093735,17.19728508
1768127456,111.6628456,537.3318195,17.63053228
1768127456,105.1460067,570.6350803,18.25985916
1768127457,102.2638479,586.7176056,18.27340159
1768127458,108.4272977,553.3661842,18.88429366
1768127458,111.6734494,537.280798,18.90251431
1768127459,111.4000803,538.5992527,18.77626041
1768127459,105.4412171,569.0374374,19.13682364
1768127460,92.25448427,650.3748894,22.27089175
